user_id,username,age,country,posts_per_week,meme_reactions,rare_pepe_sightings,emoji_diversity,troll_humor_index,savage_ratio,clown_confidence,edgelord_points,last_seen,late_night_posts,mystery_post_count,conspiracy_engagement,was_reported_troll
206564,meme_lord_206564,13,India,3,6.0,0,19,11.166062745000078,84.69629401815114,43.61195695770116,11.93293939508079,2024-10-12 06:58:17,0,15,low,0
202681,meme_lord_202681,24,USA,10,109.0,0,8,13.666985438084838,92.98541324456188,48.57041645496617,235.59341517448652,2023-09-23 08:46:43,1,32,low,1
200081,meme_lord_200081,21,India,2,,0,13,18.904601936215425,78.74604334150624,44.88149510716011,211.6408223603615,2023-12-25 04:35:00,0,27,medium,0
200686,meme_lord_200686,32,India,1,197.0,0,8,0.9881812711589218,61.27730214136145,59.94156713612992,203.0866243980774,2023-06-20 23:29:17,1,16,medium,0
202746,meme_lord_202746,25,Canada,8,283.0,0,14,5.098351401266017,65.34660481689903,24.588889765956353,15.04247043971361,2024-05-07 16:30:28,1,49,low,0
202106,meme_lord_202106,14,India,1,822.0,0,26,39.21641800213229,76.71995364199533,54.58045387126568,4.951975883511676,2023-06-17 02:31:05,1,19,medium,1
203400,meme_lord_203400,25,India,3,931.0,1,9,20.267614308929698,75.35129693483515,27.790161479604023,50.767957290701,2023-05-16 17:27:09,0,23,high,1
206151,meme_lord_206151,19,UK,3,885.0,0,12,32.487247707212475,59.00258675113123,16.00404602473632,24.67789341014283,2024-05-14 17:11:20,0,28,medium,0
204049,meme_lord_204049,18,UK,3,49.0,0,12,13.555780781171006,68.68307466423292,70.85596791242565,232.22050270208496,2024-08-24 09:55:15,0,13,low,0
206418,meme_lord_206418,15,USA,2,201.0,0,6,49.50276920864351,,23.082922653121955,8.600896021037174,2024-10-03 12:34:36,0,43,medium,0
200533,meme_lord_200533,28,India,5,535.0,0,19,47.57645114933232,53.19348073979728,64.16937084212637,4.253851399146964,2024-10-06 19:13:23,0,22,low,0
204353,meme_lord_204353,40,USA,3,926.0,0,7,17.4419021280597,51.55429898173789,39.27731665720962,10.424557033370926,2023-01-20 10:30:25,1,24,low,0
200315,meme_lord_200315,13,India,4,528.0,0,24,5.662416215324083,66.78518179004288,52.250058280385396,8.853760981479,2023-06-19 18:08:35,0,42,medium,0
200946,meme_lord_200946,27,USA,3,985.0,0,28,26.266220081428937,93.01088135582576,66.66818114786889,10.685225819818548,2024-01-18 10:39:08,0,43,low,0
206623,meme_lord_206623,26,Other,5,127.0,0,27,30.374598517747458,75.53672268141848,46.36596836991872,18.502451073414136,2023-05-30 09:19:42,1,2,medium,1
204927,meme_lord_204927,24,UK,2,598.0,0,19,47.10378563568849,82.02562043776175,46.618944159653644,34.13463628263203,2024-03-12 10:48:58,0,4,medium,0
200439,meme_lord_200439,17,USA,15,29.0,0,20,21.002777991115355,78.15921563107237,45.62625674180639,22.057386206618165,2023-09-05 14:46:00,0,34,medium,0
205403,meme_lord_205403,23,India,3,740.0,0,28,35.12190334903651,42.22890241581643,74.65690945640394,22.473576006983503,2024-11-24 16:09:10,0,46,low,0
200628,meme_lord_200628,14,India,0,890.0,0,23,52.55494723367142,87.61169456264426,83.11756705496117,9.87363706065009,2023-10-07 13:36:40,1,47,🛸 alien confirmed,1
203844,meme_lord_203844,23,Other,2,489.0,0,9,17.144639360786492,69.68334911562538,58.521704674190204,62.90597801061888,2023-07-05 21:56:03,1,15,low,1
204897,meme_lord_204897,17,Canada,1,727.0,0,21,22.71796862050425,79.0819713368845,48.67133836576343,65.16689214928466,2023-02-14 00:47:13,0,31,low,0
203889,meme_lord_203889,20,USA,3,71.0,0,10,61.24210252760026,79.96861679784534,16.10136409055108,6.017930724207521,2023-12-26 21:33:15,0,34,medium,0
203002,meme_lord_203002,26,USA,4,592.0,0,5,40.60590391078737,70.20938766207655,85.78402088758904,0.8640436608974118,2024-02-14 13:21:46,0,4,medium,0
202736,meme_lord_202736,27,India,3,365.0,0,13,19.081015184548583,87.61309469280212,1.905391592651391,15.282046439810536,2023-12-06 16:02:22,1,42,medium,1
203260,meme_lord_203260,23,UK,2,41.0,0,22,20.62697500337035,63.51596982140292,28.963099305862464,57.25427043293556,2023-12-08 10:40:39,1,5,high,1
201953,meme_lord_201953,35,Australia,2,361.0,0,16,10.899838504921293,61.50275604232761,40.31527316480438,32.64052400300347,2023-01-03 18:49:39,0,42,low,0
206936,meme_lord_206936,13,USA,4,140.0,0,1,18.52207162765365,70.61661353407604,42.21877591736567,0.35762520227784017,2023-12-12 03:52:34,0,32,low,0
