customer_id,age,gender,region,annual_income,credit_score,purchase_count,web_visits,app_opens,signup_date,last_purchase_date,tenure_days,income_bucket,engagement_score,customer_segment,churned
100398,35,Female,Region_45,41505.65851529576,445.3517409475924,3,7.306976728668215,43.190210789768095,2018-08-11 05:36:06,2022-06-27 05:35:38,2692,Low,3.1199402661021454,Standard,0
104606,40,Female,Region_48,17908.10890306012,374.4339305162832,3,4.502445004139388,1.7467683422616154,2019-05-15 07:26:52,2024-08-24 21:58:02,2415,Very Low,1.2883320592947722,Standard,1
104663,23,Male,Region_26,33112.181668365054,394.5382987132212,6,7.128705596138408,0.1602061351349958,2020-03-11 23:58:23,2023-08-12 07:55:10,2113,Low,0.927319294266894,Standard,0
102032,24,Other,Region_49,63160.084734023905,572.6608819830606,4,4.859485561161469,6.039333332347047,2018-04-21 22:03:32,2022-04-24 12:28:39,2803,Low,1.8781328057607056,Standard,1
102015,47,Female,Region_13,95973.13686114416,723.5035367521879,3,1.7257761597993384,0.0272058686535148,2022-01-09 04:15:06,2024-03-13 21:24:38,1445,High,0.4172067070514462,Standard,0
100599,18,Female,Region_3,7456.688463885634,322.1759342728595,6,2.084793447336513,10.329343359360209,2021-06-04 11:19:45,2023-07-10 21:22:14,1664,Very Low,1.907031550962376,Standard,1
102021,29,Male,Region_15,118967.01491086432,839.7097102987556,6,7.131231960432567,6.9076852731229055,2020-12-11 21:08:59,2024-12-16 15:43:51,1838,High,2.0789860414754404,Standard,0
101611,35,Male,Region_20,63160.084734023905,572.6608819830606,2,10.899583850914505,7.021890029142518,2023-05-01 22:35:42,2024-07-12 17:40:29,967,Low,2.239905806755159,Standard,1
102138,54,Female,Region_40,329908.16379309166,900.0,9,2.665055736279764,9.694196526572044,2018-03-30 14:27:58,2024-10-08 02:29:27,2825,Very High,1.9413581453548856,Standard,0
100369,41,Female,Region_20,77682.0682487071,701.7128262722954,2,2.209612386202456,18.54114510131684,2023-08-14 21:49:11,2023-05-12 13:12:53,862,Medium,2.2499734198541037,Standard,0
